"TABLE_NAME","CONSTRAINT_NAME","TABLE_NAME_REF","FKCOLUMNNAME","HASINDEX","WEIGHT"
"ACC001","FK_ACC001_SYS010","SYS010","SYS010_USER_ID","Y","512"
"ADM001","FK_ADM001_ADM001","ADM001","ADM001_HMO_PARENT_ID","Y","512"
"ADM001","FK_ADM001_ADM030","ADM030","ADM030_BANK_ACCOUNT_ID","Y","64"
"ADM001","FK_ADM001_ADM043","ADM043","ADM043_CPT_TABLE_ID","Y","64"
"ADM001","FK_ADM001_ADM183","ADM183","ADM183_CLIENT_GROUP_ID","Y","64"
"ADM001","FK_ADM001_SYS001","SYS001","SYS001_INSTITUTION_ID","Y","64"
"ADM001","FK_ADM001_SYS011_1","SYS011","SYS011_CHARGE_STATE_ID","Y","64"
"ADM001","FK_ADM001_SYS011_2","SYS011","SYS011_STATE_ID","Y","64"
"ADM001","FK_ADM001_SYS126","SYS126","SYS126_COUNTRY_ID","Y","64"
"ADM001","FK_ADM001_SYS126_2","SYS126","SYS126_CHARGE_COUNTRY_ID","Y","64"
"ADM002","FK_ADM002_ADM001","ADM001","ADM001_HMO_ID","Y","512"
"ADM002","FK_ADM002_ADM360","ADM360","ADM360_PLAN_CLASSIFICATION_ID","Y","64"
"ADM003","FK_ADM003_ADM001","ADM001","ADM001_HMO_ID","Y","512"
"ADM004","FK_ADM004_ADM001","ADM001","ADM001_HMO_ID","Y","512"
"ADM004","FK_ADM004_ADM047","ADM047","ADM047_CPT_TYPE_ID","Y","64"
"ADM005","FK_ADM005_ADM001","ADM001","ADM001_HMO_ID","Y","512"
"ADM006","FK_ADM006_ADM001","ADM001","ADM001_HMO_ID","Y","512"
"ADM007","FK_ADM007_ADM001","ADM001","ADM001_HMO_ID","Y","512"
"ADM007","FK_ADM007_ADM137","ADM137","ADM137_HMO_CPT_TABLE_ID","Y","384"
"ADM009","FK_ADM009_ADM001","ADM001","ADM001_HMO_ID","Y","512"
"ADM009","FK_ADM009_ADM137","ADM137","ADM137_HMO_CPT_TABLE_ID","Y","384"
"ADM009","FK_ADM009_SYS010","SYS010","SYS010_USER_ID","Y","512"
"ADM010","FK_ADM010_SYS002","SYS002","SYS002_UNIT_ID","Y","128"
"ADM011","FK_ADM011_ADM137","ADM137","ADM137_HMO_CPT_TABLE_ID","Y","384"
"ADM011","FK_ADM011_SYS010","SYS010","SYS010_USER_ID","Y","512"
"ADM014","FK_ADM014_ADM001","ADM001","ADM001_HMO_ID","Y","512"
"ADM014","FK_ADM014_ADM137","ADM137","ADM137_HMO_CPT_TABLE_ID","Y","384"
"ADM014","FK_ADM014_SYS002","SYS002","SYS002_UNIT_ID","Y","128"
"ADM014","FK_ADM014_SYS008","SYS008","SYS008_PROFESSIONAL_TYPE_ID","Y","64"
"ADM014","FK_ADM014_SYS010","SYS010","SYS010_USER_ID","Y","512"
"ADM015","FK_ADM015_ADM001","ADM001","ADM001_HMO_ID","Y","512"
"ADM015","FK_ADM015_ADM023","ADM023","ADM023_SERVICE_ID","Y","64"
"ADM015","FK_ADM015_ADM103","ADM103","ADM103_HMO_VALUE_TABLE_ID","Y","192"
"ADM015","FK_ADM015_ADM124","ADM124","ADM124_SERVICE_TYPE_ID","Y","64"
"ADM015","FK_ADM015_ADM243","ADM243","ADM243_SUBGROUP_ID","Y","64"
"ADM015","FK_ADM015_SYS002","SYS002","SYS002_UNIT_ID","Y","128"
"ADM015","FK_ADM015_SYS010","SYS010","SYS010_USER_ID","Y","512"
"ADM016","FK_ADM016_ADM001","ADM001","ADM001_HMO_ID","Y","512"
"ADM016","FK_ADM016_ADM023","ADM023","ADM023_SERVICE_ID","Y","64"
"ADM016","FK_ADM016_ADM124","ADM124","ADM124_SERVICE_TYPE_ID","Y","64"
"ADM016","FK_ADM016_ADM177","ADM177","ADM177_HMO_SERV_TABLE_COVER_ID","Y","128"
"ADM016","FK_ADM016_ADM243","ADM243","ADM243_SUBGROUP_ID","Y","64"
"ADM016","FK_ADM016_SYS002","SYS002","SYS002_UNIT_ID","Y","128"
"ADM016","FK_ADM016_SYS003","SYS003","SYS003_UNIT_CATEGORY_ID","Y","64"
"ADM016","FK_ADM016_SYS010","SYS010","SYS010_USER_ID","Y","512"
"ADM017","FK_ADM017_ADM001","ADM001","ADM001_HMO_ID","Y","512"
"ADM017","FK_ADM017_SYS010","SYS010","SYS010_USER_ID","Y","512"
"ADM018","FK_ADM018_ADM001","ADM001","ADM001_HMO_ID","Y","512"
"ADM018","FK_ADM018_ADM023","ADM023","ADM023_SERVICE_ID","Y","64"
"ADM018","FK_ADM018_SYS010","SYS010","SYS010_USER_ID","Y","512"
"ADM019","FK_ADM019_ADM001","ADM001","ADM001_HMO_ID","Y","512"
"ADM019","FK_ADM019_ADM082","ADM082","ADM082_PRODUCT_ID","Y","14336"
"ADM019","FK_ADM019_ADM103","ADM103","ADM103_HMO_VALUE_TABLE_ID","Y","192"
"ADM019","FK_ADM019_PHA002","PHA002","PHA002_GENERIC_NAME_ID","Y","128"
"ADM019","FK_ADM019_STO007","STO007","STO007_PRODUCT_SUB_GROUP_ID","Y","64"
"ADM019","FK_ADM019_SYS002","SYS002","SYS002_UNIT_ID","Y","128"
"ADM019","FK_ADM019_SYS010","SYS010","SYS010_USER_ID","Y","512"
"ADM020","FK_ADM020_ADM001","ADM001","ADM001_HMO_ID","Y","512"
"ADM020","FK_ADM020_ADM082","ADM082","ADM082_PRODUCT_ID","Y","14336"
"ADM020","FK_ADM020_ADM180","ADM180","ADM180_HMO_PROD_TABLE_COVER_ID","Y","192"
"ADM020","FK_ADM020_ADM368","ADM368","ADM368_PRODUCT_STRUCTURE_ID","Y","64"
"ADM020","FK_ADM020_PHA002","PHA002","PHA002_GENERIC_NAME_ID","Y","128"
"ADM020","FK_ADM020_STO007","STO007","STO007_PRODUCT_SUB_GROUP_ID","Y","64"
"ADM020","FK_ADM020_SYS002","SYS002","SYS002_UNIT_ID","Y","128"
"ADM020","FK_ADM020_SYS003","SYS003","SYS003_UNIT_CATEGORY_ID","Y","64"
"ADM020","FK_ADM020_SYS010","SYS010","SYS010_USER_ID","Y","512"
"ADM021","FK_ADM021_ADM001","ADM001","ADM001_HMO_ID","Y","512"
"ADM021","FK_ADM021_ADM103","ADM103","ADM103_HMO_VALUE_TABLE_ID","Y","192"
