"TABLE_NAME","FULL_TABLE_NAME","NUM_ROWS","COMMENTS","BYTES"
"MP2145","MP2145_ALLERGY","159","Tabela de alergias.","65536"
"MP2146","MP2146_ALLERGY_PRODUCT","0","Tabela de vínculos entre alergias e produtos.","65536"
"MP2147","MP2147_ALLERGY_PATIENT","451","Tabela de vínculos entre alergias e pacientes.","65536"
"MP2153","MP2153_JUSTIF_ANTIBIOTIC","31","Contém as justificativas de medicamentos de antibióticos.","65536"
"MP2154","MP2154_WA_TAB_DEPENDENCY","0","Tabela com as Dependências entre Aletas configuradas para a utilização da workarea no prontuário eletrônico.","0"
"MP2155","MP2155_WA_PANEL_DEPENDENCY","0","Tabela de dependências dos painéis da WorkArea","0"
"MP2148","MP2148_MODEL_GROUP","1","Grupo de modelo da prescrição","65536"
"MP2149","MP2149_STANDARD_PRESCRIPTION","1","Modelo e padrão de prescrição","65536"
"MP2150","MP2150_STANDARD_PRESC_UNIT","0","Unidades configuradas para utilizarem o padrão de prescrição","0"
"MP2151","MP2151_STANDARD_PRESC_ITEM","2","Item do padrão de prescrição","65536"
"MP2152","MP2152_STD_MEDICATION_PRESC","1","Padrão de prescrição de medicamento","65536"
"MP2156","MP2156_STD_INHALATION_PRESC","0","Padrão de prescrição de inalação","0"
"MP2157","MP2157_STD_VENTILATION_PRESC","0","Padrão de prescrição de ventilação","0"
"MP2158","MP2158_STD_ROUTINE_PRESC","0","Padrão de prescrição de rotina","0"
"MP2159","MP2159_STD_MONITORING_PRESC","0","Padrão de prescrição de monitoramento","0"
"MP2160","MP2160_STD_CARE_PRESC","0","Padrão de prescrição de cuidado","0"
"MP2161","MP2161_STD_CONTROL_PRESC","0","Padrão de prescrição de controle","0"
"MP2162","MP2162_STD_BLOODCOMP_PRESC","0","Padrão de prescrição de hemocomponentes","0"
"MP2163","MP2163_STD_DIET_PRESC","1","Padrão de prescrição de dieta","65536"
"MP2164","MP2164_STD_EXAM_PRESC","0","Padrão de prescrição de exame","0"
"MP2165","MP2165_STD_INSULIN_PRESC","0","Padrão de prescrição de insulina","0"
"MP2166","MP2166_STD_PROCEDURE_PRESC","0","Padrão de prescrição de procedimento","0"
"MP2167","MP2167_STD_SOLUTION_PRESC","0","Padrão de prescrição de solução","0"
"MP2168","MP2168_STD_VITAL_SIGN_PRESC","0","Padrão de prescrição de sinal vital","0"
"MP2169","MP2169_STD_INHALATION_ITEM","0","Itens que compõem o padrão de prescrição de inalação","0"
"MP2170","MP2170_STD_BLOODCOMP_EXAM","0","Relação entre padrões de prescrição de hemocomponentes e de exames","0"
"MP2171","MP2171_STD_SOLUTION_ITEM","0","Itens que compõem o padrão de prescrição de solução","0"
"MP2172","MP2172_STD_VITAL_SIGN_ITEM","0","Itens que compõem o padrão de prescrição de sinal vital","0"
"MP2173","MP2173_STD_DIET_ITEM","0","Itens que compõem o padrão de prescrição de dieta","0"
"MP2174","MP2174_STD_MED_OPINION_PRESC","0","Padrão de prescrição de parecer médico","0"
"MP2175","MP2175_STD_DISCHARGE_PRESC","0","Padrão de prescrição de alta médica","0"
"MP2176","MP2176_STD_VENTILATION_GAS","0","Gases que compõem o padrão de prescrição de ventilação","0"
"MP2177","MP2177_STD_DIET_RESTRICT","0","Dietas restritivas do padrão de prescrição de dietas","0"
"MP2178","MP2178_STD_ORAL_DIET","1","Dietas orais do padrão de prescrição de dieta","65536"
"MP2179","MP2179_STD_ENTERAL_DIET","0","Dietas enterais do padrão de prescrição de dieta","0"
"MP2180","MP2180_STD_PARENTERAL_DIET","0","Dietas parenterais do padrão de prescrição de dieta","0"
"MP2181","MP2181_STD_DILUTION","0","Diluentes do padrão de prescrição","0"
"MP2182","MP2182_STD_HYPERGLYCEMIA","0","Hiperglicemias do padrão de prescrição","0"
"MP2183","MP2183_STD_INS_GLUCOSESTRIP","0","Quantidades de insulina por faixas de glicemia capilar do padrão de prescrição","0"
"MP2184","MP2184_STD_INSULIN_FIXED","0","Insulinas fixas do padrão de prescrição.","0"
"MP2185","MP2185_STD_INSULIN_DOSAGE","0","Dose de insulinas do padrão de prescrição","0"
"MP2186","MP2186_STD_HYPOGLYCEMIA","0","Hipoglicemias do padrão de prescrição","0"
"MP2187","MP2187_STD_INS_VARIABLE","0","Insulinas variáveis do padrão de prescrição","0"
"MP2188","MP2188_STD_INSULIN_CARE","0","Cuidados relacionados ao padrão de prescrição de insulinas","0"
"MP2189","MP2189_STD_IND_DIET_PRESCR","0","Padrão de prescrição de dieta parenteral individualizada","0"
"MP2190","MP2190_STD_IND_DIET_ITEM","0","Itens do padrão de prescrição de dieta parenteral individualizada","0"
"MP2191","MP2191_STD_NEEDED","0","Condições de um item prescrito no padrão de prescrição como ""se necessário""","0"
"MP2192","MP2192_STD_DILUT_ITEM_GROUP","0","Itens do padrão de prescrição de diluente. Itens do tipo grupo de diluente.","0"
"MP2193","MP2193_STD_DILUT_ITEM_PROD","0","Itens do padrão de prescrição de diluente. Itens do tipo produto","0"
"MP2194","MP2194_STD_PRESC_PAR_INDIC","0","Indicações para o padrão de prescrição de dieta parenteral","0"
"XSL001","XSL001_FROM_TO","0","Tabela de registro para conversão de dados entre sistemas","0"
"MP2197","MP2197_CUSTOM_HELP","0","Armazena as configurações do Help do sistema","0"
"MP2138","MP2138_SCHEDULING_RELEASE","127","Tabela para registrar item liberados em aprazamento","65536"
"MP2139","MP2139_SCHEDULING_ITEM","190","Tabela para registrar item liberados em aprazamento","65536"
"MP2198","MP2198_FOLDER","0","Tabela de estrutura de pastas","0"
"MP2199","MP2199_FILE","78791","Tabela de arquivos","9437184"
"MP2200","MP2200_REPORT","78791","Tabela de relatórios","4194304"
"MP2201","MP2201_GENERAL_CONFIGURATION","32","Tabela de configurações gerais do PEP","65536"
"MP2202","MP2202_UNIT_TAB_CONF_SIGNATURE","0","Tabela com configurações de assinatura digital por unidade e aleta","0"
"MP2203","MP2203_PATIENT_FOLDER","0","Tabela com as pastas do paciente","0"
"SCH094","SCH094_MAIL_IMAGES","0","Tabela de imagens contidas no corpo do e-mail de agendamento","0"
"MP2204","MP2204_ALLERGY_GENERIC_NAME","0","Tabela de princípios ativos vinculados a alergia","0"
"MP2205","MP2205_JUST_MEDICATION","31","Tabela de justificativa de alergia a medicamento","65536"
"MP2206","MP2206_JUST_SOLUTION_ITEM","0","Tabela de justificativa de alergia ao item de solução","0"
"MP2207","MP2207_JUST_HYPOGLYCEMIA","0","Tabela de justificativa de alergia a hipoglicemia","0"
"MP2208","MP2208_JUST_HYPERGLYCEMIA","0","Tabela de justificativa de alergia a hiperglicemia","0"
"MP2209","MP2209_JUST_INSULIN_FIXED","0","Tabela de justificativa de alergia a insulina fixa","0"
"MP2210","MP2210_JUST_INHALATION_ITEM","0","Tabela de justificativa de alergia a item de inalação","0"
"ADT087","ADT087_URGENCY_CONTACT","1","Tabela de contatos em casos de urgência, emergência ou imprevistos com o paciente.","65536"
"MP2211","MP2211_MG_PROFESSIONAL","1","Tabela com os profissionais configurados para a utilização do grupo de modelos de prescrição do prontuário eletrônico.","65536"
"MP2212","MP2212_MG_PROF_GROUPS","0","Tabela com os grupos de profissionais configurados para a utilização do grupo de modelos de prescrição do prontuário eletrônico.","0"
"MP2213","MP2213_MG_PROF_SPECIALITIES","0","Tabela com as especialidades de profissionais configurados para a utilização do grupo de modelos de prescrição do prontuário eletrônico.","0"
"STO082","STO082_RESIDENT_ADJUST_SALE","0","Cadastro de motivos de ajustes de saldo dos residentes","0"
"MP2214","MP2214_UNIT_EXAM_REQ_JUST","0","Tabela de exames que requerem justificativa","0"
"MP2215","MP2215_JUST_EXAM","0","Tabela de justificativas de exame","0"
"SYS142","SYS142_MAIL_PRODUCT_NOTIFIC","0","Configuração de Notificação de Necessidade de Aquisição de Produto","0"
"SYS143","SYS143_MAIL_PROD_NOTIF_RCP","0","Destinatários para notificação de necessidade de aquisição de produto","0"
"INT033","INT033_COST_CENTER","0","Cadastro de centros de custo","0"
"EIR026","EIR026_FINANC_RESP_PATIENT","1","Cadastro de responsáveis financeiros do paciente","65536"
"PAD020","PAD020_FINANCIAL_RESP","0","Faz a ligação entre a pré-admissão e o responsável financeiro","0"
"EIR027","EIR027_FIN_RESP_PATIENT_REL","0","Tabela de relacionamento do responsável financeiro pelo paciente","0"
"ADM478","ADM478_BILL_CLOSE_PERIOD","0","Configuração para período de Fechamento de Conta","0"
"STO085","STO085_RESIDENT_PURCHASE","0","Registro das compras efetuadas para residente","0"
"STO086","STO086_RES_PROD_PURCHASE","0","Registro dos produtos das compras efetuadas para residente","0"
"STO087","STO087_RES_PROD_ALERT","0","Controle de alertas por produto","0"
"INT034","INT034_PAYMENT_TYPE","0","Cadastro de tipo de pagamento.","0"
"STO090","STO090_RES_PROD_HISTORY","0","Representa o histórico das compras do residente","0"
"MP2216","MP2216_DRUG_INTERACTION","0","Tabela responsável pelas interações medicamentosas","0"
"MP2217","MP2217_DRUG_INT_MEDICATION","0","Tabela que irá guardar os medicamentos que estão em uma interação.","0"
"MP2218","MP2218_DRUG_INT_INHALATION","0","Tabela que irá guardar as inalações que estão em uma interação.","0"
"MP2219","MP2219_DRUG_INT_SOLUTION","0","Tabela que irá guardar os soros e componentes que estão em uma interação.","0"
"MP2220","MP2220_DRUG_INT_HYPO","0","Tabela que irá guardar os itens de hipoglicemia que estão em uma interação.","0"
"MP2221","MP2221_DRUG_INT_INS_FIXED","0","Tabela que irá guardar as insulinas fixas que estão em uma interação.","0"
"MP2222","MP2222_DRUG_INT_HYPER","0","Tabela que irá guardar os itens de hiperglicemia que estão em uma interação.","0"
"MP2223","MP2223_JUST_DRUG_INT","0","Tabela que irá guardar a justificativa de uma interação medicamentosa.","0"
"ADM485","ADM485_DEFAULT_MEDICATION","0","Armazena os medicamentos padrão da unidade na  abertura de boletins","0"
"ADM484","ADM484_DEFAULT_SERVICE","0","Armazena as taxas padrão da unidade na  abertura de boletins","0"
"ER061","ER061_ADMISSION_MEDICATION","0","Armazena os medicamentos de boletins","0"
"ER062","ER062_ADMISSION_SERVICE","0","Armazena as taxas de boletins","0"
"SYS145","SYS145_SIMPLE_REG_FIELD","134","Armazena os campos que podem ser configurados como permitidos e/ou obrigatórios no cadastro simplificado por unidade","65536"
"EFG019","EFG019_FIELD_DEPENDENCY_RULE","0","","65536"
"EFG018","EFG018_DEPENDENCY_RULES","0","","65536"
"EFG015","EFG015_NUMBER_VALUE","0","","65536"
"EFG014","EFG014_LOCAL_DB_MOVEMENT","0","","65536"
"EFG013","EFG013_FORM_MOVEMENT","0","","65536"
"EFG012","EFG012_RUN_POINT_RULE","34","Tabela que contém as regras para execuções de determinado formulário num ponto de execuções","65536"
"EFG011","EFG011_RUN_POINT","34","Tabela que contém os pontos de execuções por formulário. Sempre que for necessário executar um formulário ele dever estar cadastrado aqui.","65536"
"EFG010","EFG010_ACL_FORM_USER_GROUP","0","Tabela que contém a lista de controle de acessos pelo grupo de usuários aos formulários.","65536"
"EFG009","EFG009_ACL_FORM_USER","0","Tabela que contém a lista de controle de acessos pelo usuário aos formulários.","65536"
"EFG008","EFG008_ACL_FORM_ATTENTION","0","Tabela que contém a lista de controle de acessos pelo tipo de atendimento aos formulários.","65536"
"EFG007","EFG007_ACL_FORM_SPECIALTY","0","Tabela que contém a lista de controle de acessos pela especialidade aos formulários.","65536"
"EFG006","EFG006_ACL_FORM_UNIT","0","Tabela que contém a lista de controle de acessos pela unidade aos formulários. ACL  a acrônimo de Access Control List.","65536"
"EFG005","EFG005_LOCAL_DATABASE","0","Tabela que contém um cadastro de dados locais que podem ser inseridos num formulário","65536"
"EFG004","EFG004_FORM_FIELD_EXTRA","0","Tabela que contém os campos adicionais necessários para o componente utilizado e que no fazem parte do conjunto padrão de informações.","65536"
"DWH005","DWH005_BED","0"," ","65536"
"DWH004","DWH004_ADT_HMO_TOTAL","0","Tabela utilizada para armazenamento de informações relativas ao número de internações por convênio.","65536"
"DWH003","DWH003_BED_STATUS_TOTAL","0","Tabela utilizada para armazenamento de informações relativas ao número de leitos por status.","65536"
"DWH002","DWH002_ADT_CLINI_TYPE_TOTAL","0","Tabela utilizada para armazenamento de informações relativas ao número de internações por tipo clínico.","65536"
"DWH001","DWH001_ADT_UNIT_TOTAL","0","Tabela utilizada para armazenamento de informações relativas ao número de internações por unidade.","65536"
"CST045","CST045_SURGERY_TIME","0","","65536"
"CST044","CST044_SURGERY_TIME_CFG","20","","65536"
"CST040","CST040_DIET_INQUERITY","0","","65536"
"CST039","CST039_PHYSICAL_EXAM","0","","65536"
"CST038","CST038_GASTRO_SYMPTOMS","0","","65536"
"ADM163","ADM163_HMO_CPT_TABLE_COVER","786","Cobertura de tabelas de procedimentos para um convênio.","131072"
"ADM164","ADM164_EXAM_RESTRICT","117799","Restrições entre exames.","5242880"
"ADM162","ADM162_CPT_RESTRICT","0","Restrições de realização entre procedimentos.","65536"
"ADM161","ADM161_CPT_REALIZATION_UNIT","1","Unidade de Realização em um determinado procedimento.","65536"
"ADM160","ADM160_CPT_EQUIPMENT","0","Equipamentos utilizados em um determinado procedimento.","65536"
"ADM159","ADM159_CPT_OPME","0","OPMEs utilizados em um determinado procedimento.","65536"
"ADM158","ADM158_CHECKUP_PROT_HMO_CPT","0","Procedimentos de convênio por Protocolo de Check-up.","65536"
"ADM157","ADM157_CHECKUP_PROT_HMO","0","convênio por Protocolo de Check-up.","65536"
"ADM156","ADM156_PROF_ATT_RETURN","0","Tempo de retorno de atendimentos por profissional.","65536"
"ADM155","ADM155_HMO_ATTENTION_RETURN","566","Regras de retorno de atendimentos por convênio.","65536"
"ADM154","ADM154_CHECKUP_PROT_CPT","2594","Procedimentos de Protocolo de Check-up.","131072"
"ADM153","ADM153_CHECKUP_PROT","102","Protocolo de Checkup.","65536"
"ADM152","ADM152_CHECKUP_PROT_SUBCL","0","SubClassificação de Protocolo de Checkup.","65536"
"ADM151","ADM151_CHECKUP_PROT_CLASS","1","Classificação de Protocolo de Checkup.","65536"
"ADM148","ADM148_BUDGET_MODEL_SERVICE","0","Tabela que armazena as taxas de um modelo de orçamento.","65536"
"LAB052","LAB052_ADM_EXAM_LOCK_MEMBER","450943","Responsável por armazenar os procedimentos da agenda que foram atendidos no boletim.","11534336"
"LAB051","LAB051_DELIVERY_SITE","1","Local de entrega de laudos.","65536"
"LOG002","LOG002_PATIENT_EXAM","0","Log de Exames da Requisição.","65536"
"LAB050","LAB050_GATHERING_SITE","0","Local de coleta de exames.","65536"
"LAB022","LAB022_EXAM_REQ_PROFESSIONAL","0","Tabela que armazena os profissionais requisitantes do exame.","65536"
"LAB021","LAB021_EXAM_SAMPLE","0","Tabela que armazena as amostras do exame.","65536"
"LAB020","LAB020_EXAM_APPR_DELIVERY_TYPE","0","Tabela que armazena os exames do boletim de atendimento de SADT do paciente.","65536"
"LAB019","LAB019_PROF_EXAM_APPR_DELIVERY","0","Tabela que armazena os profissionais que participam da forma de entrega [Médico].","65536"
"LAB018","LAB018_APPRAISAL_DELIV_EXCEPT","0","Tabela que armazena exames que no permitem a forma de entrega de laudos do exame.","65536"
"LAB017","LAB017_APPRAISAL_DELIVERY_TYPE","0","Tabela que armazena as formas de entrega do laudo.","65536"
"EMR921","EMR921_PATIENT_CPT_HONOR_CR","3796059","Valores de CH específicos para cada procedimento de tabelas base de procedimentos gerados no momento do fechamento de contas","360710144"
"EMR920","EMR920_PATIENT_PROCEDURE_CR","3788131","Utilizada para armazenar os valores de procedimentos de tabela base calculados no momento do fechamento de contas. Os procedimentos presentes nesta tabela são os procedimentos de tabelas base que estavam correlacionados a um procedimento da tabela da instituição.","377487360"
"CLS012","CLS012_CONCURR_CLEAN_PATT","0","Tabela de registro de profissional e horário padrão, para execução de atividades de limpeza concorrente, em uma unidade.","65536"
"AUD011","AUD011_PATIENT_PROCEDURE_CR","0","Armazena os dados originais dos itens que estão sendo auditados pelo processo de auditoria, toda vez que uma auditoria de um procedimento é realizada um registro do estado atual do registro é salvo nesta tabela para manter o histórico e a tabela EMR920_PATIENT_PROCEDURE_CR  de procedimentos  é alterada.","65536"
"AUD010","AUD010_PATIENT_CPT_HONO_CR","0","Armazena os dados originais dos itens que estão sendo auditados pelo processo de auditoria, toda vez que uma auditoria de um procedimento é realizada um registro do estado atual do registro é salvo nesta tabela para manter o histórico e a tabela EMR921_PATIENT_CPT_HONOR_CR  de procedimentos  é alterada.","65536"
"SYS115","SYS115_AUTHORIZATED_UNITS","0","Tabela de configuração das unidades que não precisão de validação de prescrição nas transferencias de pacientes.","65536"
"STO048","STO048_LOT_PREPARE_LOG","13337","Informações de histórico de preparação de itens.","524288"
"SCH067","SCH067_EMAIL_LOG_REL","568046","Tabela de relacionamento entre os e-mails enviados e os agendamentos que originaram o email","13631488"
"PHA034","PHA034_DILUTION_UNIT","120","Armazena vínculo de unidade de atendimento que possui regra de diluição.","65536"
"MP2051","MP2051_TOLERANCE_CHECK_PROF","2","Relacionamento da configuração de tolerância de checagem com os tipos de profissionais cadastrados no HIS","65536"
